,0
530,0.004252259508254182
531,0.0
532,0.0
533,0.0
534,0.0011996551823144504
535,0.0
536,0.0
537,0.0
538,0.0
539,0.0
540,0.0
541,0.0
542,0.0
543,0.0
544,0.0
545,0.0
546,0.0
547,0.0
548,0.0
549,0.0
550,0.0
551,0.0
552,0.0
553,0.00012331817075733698
554,0.0
555,0.0
556,0.0
557,0.0
558,0.0
559,0.0
560,0.0
561,0.0
562,0.0
563,0.0
564,0.0
565,0.0
566,0.0
567,0.0
568,0.0
569,0.0
570,0.0
571,0.0
572,0.0
573,0.0
574,0.0
575,0.0
576,0.0
577,0.0
578,0.0
579,0.0
580,0.0
581,0.0010849617120856846
582,0.00033414143402350305
583,0.0
584,0.0007397696922201468
585,0.0007298246499745271
586,0.02036150929414282
587,0.00026211823037630184
588,0.0016553066336164146
589,0.00042927417877411443
590,0.00034139244505094563
591,0.0004883371245328485
592,0.0003557879098265597
593,0.0003216945496445851
594,0.0006379980821863675
595,0.0
596,0.0
597,0.00021510142799832844
598,0.0005659575506682405
599,0.00045686213099692803
600,0.00023995649035588387
601,0.0008368332154461977
602,0.0
603,0.0006795597931224058
604,0.0010454008766197322
605,0.0008068281457087967
606,0.0
607,0.00019860061007513554
608,0.0
609,0.0005695142718057551
610,0.0015080354977247772
611,0.0001528725509037821
612,0.0008400854971110292
613,0.0010079675978811006
614,9.305024905053918e-05
615,0.0007227093431804946
616,0.0
617,0.0005561675112778931
618,0.0007804759326932293
619,0.0005978013528547332
620,0.0
621,0.002800248629464161
622,0.0005405491918085714
623,0.00045068012676917184
624,0.000338404606977955
625,0.0004905584522748671
626,0.00040084258694663983
627,0.0003415609353393105
628,0.0001353197870541006
629,0.0
630,0.00044231183625119766
631,0.00022041733779019354
632,0.0003815258972669411
633,0.0008017941581029593
634,0.001203472296087672
635,0.0010320795093072441
636,0.00037757873010361
